대륙,국적,성별,총합계,사증면제,관광통과,일시취재,단기방문,단기취업,문화예술,유학,기술연수,일반연수,취재,종교,주재,기업투자,무역경영,구직,교수,회화,연구,기술지도,전문직업,예술흥행,특정활동,계절근로,비전문취업,선원취업,방문동거,거주,동반,재외동포,영주,결혼이민,기타,관광취업,방문취업,관광상륙,조건부입국허가,기타
아시아주,미얀마,남성,"23,846",,264,,699,1,,239,33,140,,24,,4,1,58,2,,5,,,1,30,,"20,745",803,15,179,14,,8,51,429,,,,,101
아시아주,미얀마,여성,"1,456",,1,,68,,,498,,206,,48,,,,76,1,,10,,,,18,,2,,28,166,27,,18,187,55,,,,,47
아시아주,스리랑카,총계,"20,422",,213,,587,9,,243,30,126,,35,,15,3,34,1,,15,1,,,298,,"16,709",21,70,84,162,,45,329,447,,,,,945
아시아주,스리랑카,남성,"19,628",,211,,514,9,,127,23,67,,34,,13,3,18,1,,15,1,,,289,,"16,554",21,29,63,61,,31,270,381,,,,,893
아시아주,스리랑카,여성,794,,2,,73,,,116,7,59,,1,,2,,16,,,,,,,9,,155,,41,21,101,,14,59,66,,,,,52
아시아주,타이완,총계,"19,125",5,626,1,126,52,2,563,,338,3,12,11,67,20,74,12,6,14,4,29,23,181,,,,278,"3,093",94,72,"11,965","1,245",1,111,,2,,95
아시아주,타이완,남성,"9,321",2,310,,86,48,1,73,,34,2,1,5,40,20,8,6,,12,3,29,6,40,,,,142,"1,714",17,22,"6,542",110,,7,,2,,39
아시아주,타이완,여성,"9,804",3,316,1,40,4,1,490,,304,1,11,6,27,,66,6,6,2,1,,17,141,,,,136,"1,379",77,50,"5,423","1,135",1,104,,,,56
아시아주,방글라데시,총계,"16,438","2,501",25,,305,3,,"1,286",158,52,,13,6,38,15,109,14,,110,,1,1,451,,"7,469",,233,610,581,,132,307,757,,,,,"1,261"
아시아주,방글라데시,남성,"15,095","2,474",24,,254,2,,"1,097",157,46,,12,6,36,15,92,13,,95,,1,1,446,,"7,436",,70,434,154,,110,214,716,,,,,"1,190"
아시아주,방글라데시,여성,"1,343",27,1,,51,1,,189,1,6,,1,,2,,17,1,,15,,,,5,,33,,163,176,427,,22,93,41,,,,,71
아시아주,파키스탄,총계,"12,877","1,464",14,4,525,33,,"1,504",59,51,1,14,4,321,97,205,52,1,191,,,,256,,"2,382",,120,334,"1,091",,257,841,"2,165",,,,,891
아시아주,파키스탄,남성,"11,200","1,438",14,4,477,33,,"1,280",59,36,1,10,4,317,97,184,47,1,168,,,,243,,"2,382",,66,215,356,,218,688,"2,069",,,,,793
아시아주,파키스탄,여성,"1,677",26,,,48,,,224,,15,,4,,4,,21,5,,23,,,,13,,,,54,119,735,,39,153,96,,,,,98
아시아주,인도,총계,"11,004",1,75,2,"1,077",64,2,"1,262",5,153,,54,112,177,114,91,302,,"1,174",5,3,9,886,,12,,69,389,"1,770",2,293,194,"2,369",,,,,338
아시아주,인도,남성,"8,189",1,59,2,"1,014",64,2,839,5,94,,40,106,168,113,59,269,,"1,003",5,3,7,827,,12,,28,177,460,2,230,145,"2,207",,,,,248
아시아주,인도,여성,"2,815",,16,,63,,,423,,59,,14,6,9,1,32,33,,171,,,2,59,,,,41,212,"1,310",,63,49,162,,,,,90
아시아주,키르기즈,총계,"5,688",,4,,375,2,,244,,98,,,,44,13,36,,,,,,18,43,,757,1,807,89,145,"1,209",134,371,198,,981,,,119
아시아주,키르기즈,남성,"3,241",,4,,294,,,98,,50,,,,43,12,10,,,,,,5,27,,726,1,370,35,60,631,19,28,161,,600,,,67
아시아주,키르기즈,여성,"2,447",,,,81,2,,146,,48,,,,1,1,26,,,,,,13,16,,31,,437,54,85,578,115,343,37,,381,,,52
아시아주,말레이시아,총계,"5,073","1,598",2,,21,22,1,622,,141,,4,9,34,55,51,7,,23,8,8,3,136,,,,20,84,103,3,102,203,"1,701",,,,,112
아시아주,말레이시아,남성,"3,136","1,214",2,,15,18,,202,,42,,2,8,24,51,8,3,,15,8,8,2,73,,,,6,31,35,,15,44,"1,251",,,,,59
아시아주,말레이시아,여성,"1,937",384,,,6,4,1,420,,99,,2,1,10,4,43,4,,8,,,1,63,,,,14,53,68,3,87,159,450,,,,,53
아시아주,홍콩,총계,"2,303",8,378,,34,1,,382,,241,,9,8,47,5,74,12,,2,,,9,108,,,,33,174,65,18,126,528,,16,,8,,17
아시아주,홍콩,남성,660,3,214,,20,1,,60,,34,,4,3,28,4,8,11,,2,,,4,36,,,,7,59,33,9,38,67,,1,,8,,6
아시아주,홍콩,여성,"1,643",5,164,,14,,,322,,207,,5,5,19,1,66,1,,,,,5,72,,,,26,115,32,9,88,461,,15,,,,11
아시아주,티모르민주공화국,총계,"2,127",,,,,,,18,,3,,2,,,,2,,,1,,,,2,,"2,022",,1,,,,,,,,,,,76
아시아주,티모르민주공화국,남성,"2,068",,,,,,,8,,2,,1,,,,,,,1,,,,1,,"1,989",,,,,,,,,,,,,66
아시아주,티모르민주공화국,여성,59,,,,,,,10,,1,,1,,,,2,,,,,,,1,,33,,1,,,,,,,,,,,10
아시아주,터키,총계,"1,947",416,3,,20,8,,273,,87,,3,7,19,16,21,11,7,17,,,9,66,,,,22,79,82,1,14,262,411,,,,,93
아시아주,터키,남성,"1,266",378,2,,19,7,,78,,12,,3,5,19,14,13,9,5,11,,,3,46,,,,12,35,23,,13,111,388,,,,,60
아시아주,터키,여성,681,38,1,,1,1,,195,,75,,,2,,2,8,2,2,6,,,6,20,,,,10,44,59,1,1,151,23,,,,,33
아시아주,이란,총계,"1,848",4,103,,583,1,,285,,64,,,1,4,7,14,19,1,96,,,3,42,,28,,24,108,143,6,44,117,73,,,,,78
아시아주,이란,남성,"1,295",3,101,,567,,,113,,13,,,1,4,7,4,12,1,70,,,1,33,,28,,13,63,38,1,37,81,57,,,,,47
아시아주,이란,여성,553,1,2,,16,1,,172,,51,,,,,,10,7,,26,,,2,9,,,,11,45,105,5,7,36,16,,,,,31
아시아주,시리아,총계,"1,549",,10,,12,1,,9,,1,,,,54,6,1,2,,4,,,,,,,,5,24,173,,9,16,"1,207",,,,,15
아시아주,시리아,남성,"1,079",,10,,11,1,,5,,1,,,,54,6,1,2,,3,,,,,,,,2,16,75,,6,13,863,,,,,10
아시아주,시리아,여성,470,,,,1,,,4,,,,,,,,,,,1,,,,,,,,3,8,98,,3,3,344,,,,,5
아시아주,라오스,총계,"1,527",,18,,451,6,,94,,25,,3,,,,5,,,2,,,15,4,,257,,61,8,8,1,36,497,3,,,,,33
아시아주,라오스,남성,561,,8,,201,6,,42,,12,,1,,,,1,,,2,,,14,2,,238,,12,1,3,1,,1,,,,,,16
아시아주,라오스,여성,966,,10,,250,,,52,,13,,2,,,,4,,,,,,1,2,,19,,49,7,5,,36,496,3,,,,,17
아시아주,타지키스탄,총계,"1,158",,5,,480,,,90,,46,,,,16,10,16,,,1,,,,13,,,,95,22,52,170,2,8,20,,89,,,23
아시아주,타지키스탄,남성,885,,5,,468,,,69,,32,,,,14,10,14,,,1,,,,13,,,,46,13,21,86,2,2,19,,58,,,12
아시아주,타지키스탄,여성,273,,,,12,,,21,,14,,,,2,,2,,,,,,,,,,,49,9,31,84,,6,1,,31,,,11
아시아주,예멘공화국,총계,"1,056",,7,,4,,,22,,9,,,,24,16,6,2,,2,,,,3,,,,8,52,117,,2,14,754,,,,,14
아시아주,예멘공화국,남성,854,,6,,3,,,18,,5,,,,24,16,3,2,,2,,,,1,,,,2,38,47,,2,11,662,,,,,12
아시아주,예멘공화국,여성,202,,1,,1,,,4,,4,,,,,,3,,,,,,,2,,,,6,14,70,,,3,92,,,,,2
아시아주,싱가포르,총계,835,65,,,38,15,,66,,55,2,1,11,48,15,3,6,,5,1,,3,72,,,,7,36,58,112,31,135,,,,1,,49
아시아주,싱가포르,남성,377,35,,,26,14,,18,,13,,,8,33,13,1,6,,3,1,,2,38,,,,2,12,17,55,7,51,,,,,,22
아시아주,싱가포르,여성,458,30,,,12,1,,48,,42,2,1,3,15,2,2,,,2,,,1,34,,,,5,24,41,57,24,84,,,,1,,27
아시아주,사우디아라비아,총계,802,,16,,10,1,,75,47,100,,,,45,2,2,,,1,,1,,12,,,,3,1,237,6,,5,7,,,,,231
아시아주,사우디아라비아,남성,507,,10,,8,,,49,47,85,,,,45,2,1,,,1,,1,,9,,,,3,1,98,1,,4,3,,,,,139
아시아주,사우디아라비아,여성,295,,6,,2,1,,26,,15,,,,,,1,,,,,,,3,,,,,,139,5,,1,4,,,,,92
아시아주,이라크,총계,466,,3,,126,,,33,,10,,,,28,15,,,1,1,,,1,4,,1,,5,16,78,,1,9,69,,,,,65
아시아주,이라크,남성,327,,3,,121,,,18,,7,,,,27,15,,,,1,,,1,2,,1,,2,10,27,,1,4,54,,,,,33
아시아주,이라크,여성,139,,,,5,,,15,,3,,,,1,,,,1,,,,,2,,,,3,6,51,,,5,15,,,,,32
아시아주,투르크메니스탄,총계,464,,,,50,,,35,,7,,,,,,6,,,,,,,4,,,,69,4,3,152,1,7,,,102,,,24
아시아주,투르크메니스탄,남성,263,,,,47,,,23,,2,,,,,,2,,,,,,,2,,,,34,2,2,78,1,1,,,60,,,9
아시아주,투르크메니스탄,여성,201,,,,3,,,12,,5,,,,,,4,,,,,,,2,,,,35,2,1,74,,6,,,42,,,15
아시아주,요르단,총계,455,,1,,71,,,39,,7,,,,77,34,3,2,2,8,,,,3,,,,,15,127,,6,12,21,,,,,27
아시아주,요르단,남성,312,,1,,61,,,23,,2,,,,77,34,2,1,1,7,,,,2,,,,,9,38,,5,9,20,,,,,20
아시아주,요르단,여성,143,,,,10,,,16,,5,,,,,,1,1,1,1,,,,1,,,,,6,89,,1,3,1,,,,,7
아시아주,아프가니스탄,총계,408,,8,,56,,,53,,20,,,,43,4,3,,,,,,1,4,,,,3,15,64,,3,7,68,,,,,56
아시아주,아프가니스탄,남성,320,,7,,55,,,48,,12,,,,43,4,3,,,,,,1,4,,,,2,8,27,,3,7,63,,,,,33
아시아주,아프가니스탄,여성,88,,1,,1,,,5,,8,,,,,,,,,,,,,,,,,1,7,37,,,,5,,,,,23
아시아주,아랍에미리트연합,총계,292,5,6,,67,,,48,,6,,,1,,4,1,,,,,,,,,,,,,8,,,,53,,,,,93
아시아주,아랍에미리트연합,남성,178,5,4,,45,,,28,,6,,,1,,3,,,,,,,,,,,,,,3,,,,28,,,,,55
아시아주,아랍에미리트연합,여성,114,,2,,22,,,20,,,,,,,1,1,,,,,,,,,,,,,5,,,,25,,,,,38
아시아주,이스라엘,총계,220,19,,,5,33,,13,,18,,1,4,11,4,1,3,,,,,4,3,,,,2,6,20,3,5,23,2,1,,,,39
아시아주,이스라엘,남성,127,15,,,3,32,,4,,2,,1,4,10,4,1,3,,,,,,2,,,,,3,5,1,4,13,,,,,,20
아시아주,이스라엘,여성,93,4,,,2,1,,9,,16,,,,1,,,,,,,,4,1,,,,2,3,15,2,1,10,2,1,,,,19
아시아주,마카오,총계,109,1,25,,1,,,27,,10,,,,3,,4,,,,,,1,14,,,,3,1,,,5,13,1,,,,,
아시아주,마카오,남성,37,1,16,,1,,,3,,,,,,2,,,,,,,,1,10,,,,1,,,,1,1,,,,,,
아시아주,마카오,여성,72,,9,,,,,24,,10,,,,1,,4,,,,,,,4,,,,2,1,,,4,12,1,,,,,
아시아주,팔레스타인,총계,61,,,,5,1,,9,,3,,,,10,2,1,1,,1,,,,,,,,,4,6,,6,2,9,,,,,1
아시아주,팔레스타인,남성,50,,,,4,1,,7,,1,,,,10,2,1,1,,1,,,,,,,,,2,5,,5,2,7,,,,,1
아시아주,팔레스타인,여성,11,,,,1,,,2,,2,,,,,,,,,,,,,,,,,,2,1,,1,,2,,,,,
아시아주,브루나이,총계,59,,1,,2,,,10,,3,,,1,,,1,,,,,3,,1,,,,2,,,2,,1,,,,,,32
아시아주,브루나이,남성,24,,1,,1,,,,,1,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,16
아시아주,브루나이,여성,35,,,,1,,,10,,2,,,1,,,1,,,,,,,1,,,,,,,2,,1,,,,,,16
아시아주,쿠웨이트,총계,49,,4,,3,,,2,,2,,,2,,,,,,,,,,,,,,,1,3,1,,2,4,,,,,25
아시아주,쿠웨이트,남성,26,,2,,1,,,1,,,,,2,,,,,,,,,,,,,,,,1,,,1,2,,,,,16
아시아주,쿠웨이트,여성,23,,2,,2,,,1,,2,,,,,,,,,,,,,,,,,,1,2,1,,1,2,,,,,9
아시아주,레바논,총계,44,,,,3,1,,4,,4,,,,1,,1,,,1,1,,,4,,,,1,,2,,1,6,1,,,,,13
아시아주,레바논,남성,28,,,,2,1,,3,,1,,,,1,,1,,,,1,,,3,,,,1,,1,,,4,1,,,,,8
아시아주,레바논,여성,16,,,,1,,,1,,3,,,,,,,,,1,,,,1,,,,,,1,,1,2,,,,,,5
아시아주,오만,총계,40,,2,,2,,,5,,5,,,,,,1,,,,,,,,,,,,,2,,,,4,,,,,19
아시아주,오만,남성,17,,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,12
아시아주,오만,여성,23,,1,,2,,,3,,4,,,,,,1,,,,,,,,,,,,,2,,,,3,,,,,7
아시아주,키프로스,총계,34,,10,,2,1,,2,,,,,1,,1,,,,,1,1,2,1,,,,,4,2,1,3,1,,,,,,1
아시아주,키프로스,남성,24,,10,,2,1,,,,,,,1,,1,,,,,1,1,2,1,,,,,2,1,,1,,,,,,,
아시아주,키프로스,여성,10,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,,,,,,1
아시아주,카타르,총계,28,,3,,,,,4,,1,,,1,,,,,,,,,,,,,,,,1,,,,2,,,,,16
아시아주,카타르,남성,19,,2,,,,,2,,,,,1,,,,,,,,,,,,,,,,1,,,,2,,,,,11
아시아주,카타르,여성,9,,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
아시아주,부탄,총계,28,,,,1,,,8,,5,,,,1,,,1,,,,,,1,,,,,,1,,,6,,,,,,4
아시아주,부탄,남성,11,,,,1,,,4,,,,,,1,,,1,,,,,,1,,,,,,,,,1,,,,,,2
아시아주,부탄,여성,17,,,,,,,4,,5,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,2
아시아주,홍콩거주난민,총계,15,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
아시아주,홍콩거주난민,남성,7,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아시아주,홍콩거주난민,여성,8,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
아시아주,바레인,총계,14,,,,,,,5,,3,,,,,,,,,,,,,,,,,,,,3,,1,,,,1,,1
아시아주,바레인,남성,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1
아시아주,바레인,여성,10,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,
아시아주,몰디브,총계,7,,,,1,,,4,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,
아시아주,몰디브,남성,4,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,
아시아주,몰디브,여성,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북아메리카주,총계,총계,"170,003",460,"23,461",1,352,137,6,917,,423,18,252,209,349,87,181,696,"8,456",71,90,51,146,"1,760",,,,"1,238",878,"1,873","58,830","1,923","4,875",35,27,,3,,"62,198"
북아메리카주,미국,총계,"148,211",393,"21,916",1,205,98,5,846,,362,17,246,199,298,78,159,542,"7,213",62,57,29,127,"1,479",,,,"1,135",767,"1,697","43,096","1,312","3,813",32,21,,2,,"62,004"
북아메리카주,미국,남성,"86,200",192,"10,874",1,123,87,4,289,,153,12,153,184,257,70,80,429,"2,523",52,57,28,88,895,,,,753,448,726,"18,863",909,"2,677",20,6,,1,,"45,246"
북아메리카주,미국,여성,"62,010",201,"11,042",,82,11,1,557,,209,5,93,15,41,8,79,113,"4,690",10,,1,39,584,,,,382,319,971,"24,233",403,"1,136",12,15,,1,,"16,757"
북아메리카주,미국,제3의성,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
북아메리카주,캐나다,총계,"21,792",67,"1,545",,147,39,1,71,,61,1,6,10,51,9,22,154,"1,243",9,33,22,19,281,,,,103,111,176,"15,734",611,"1,062",3,6,,1,,194
북아메리카주,캐나다,남성,"10,262",35,747,,76,31,,29,,25,,5,10,44,9,14,116,590,9,33,22,12,169,,,,75,78,77,"6,644",471,842,3,4,,,,92
북아메리카주,캐나다,여성,"11,530",32,798,,71,8,1,42,,36,1,1,,7,,8,38,653,,,,7,112,,,,28,33,99,"9,090",140,220,,2,,1,,102
남아메리카주,총계,총계,"5,828","1,030",258,,314,36,1,731,1,297,,43,5,20,19,66,20,8,41,7,48,122,197,,12,,170,149,226,274,69,848,95,12,2,6,,701
남아메리카주,브라질,총계,"1,458",250,45,,96,19,,134,,67,,5,2,11,7,13,8,1,9,3,14,78,45,,,,57,34,102,116,20,219,17,,,,,86
남아메리카주,브라질,남성,704,130,23,,41,9,,55,,22,,2,1,9,7,8,2,,8,3,14,57,32,,,,22,24,24,63,8,86,6,,,,,48
남아메리카주,브라질,여성,754,120,22,,55,10,,79,,45,,3,1,2,,5,6,1,1,,,21,13,,,,35,10,78,53,12,133,11,,,,,38
남아메리카주,멕시코,총계,944,241,1,,2,3,,152,,64,,16,2,3,2,9,6,2,11,1,13,5,52,,,,15,23,21,19,8,176,4,,,4,,89
남아메리카주,멕시코,남성,427,127,1,,1,,,49,,22,,15,2,3,1,3,4,1,7,1,13,2,42,,,,3,15,5,12,2,58,3,,,1,,34
남아메리카주,멕시코,여성,517,114,,,1,3,,103,,42,,1,,,1,6,2,1,4,,,3,10,,,,12,8,16,7,6,118,1,,,3,,55
남아메리카주,페루,총계,707,304,2,,3,,,56,,18,,4,,2,3,6,,1,2,,1,2,13,,10,,15,11,17,,8,116,11,,,,,102
남아메리카주,페루,남성,363,195,,,2,,,19,,6,,,,2,3,1,,,2,,1,2,6,,6,,8,4,7,,5,35,7,,,,,52
남아메리카주,페루,여성,344,109,2,,1,,,37,,12,,4,,,,5,,1,,,,,7,,4,,7,7,10,,3,81,4,,,,,50
남아메리카주,콜롬비아,총계,472,43,,,1,,,71,,42,,7,,,1,8,1,1,3,,2,6,17,,,,1,24,17,,8,90,9,,,,,120
남아메리카주,콜롬비아,남성,198,21,,,1,,,29,,15,,,,,1,5,1,1,3,,2,4,9,,,,,12,3,,3,30,3,,,,,55
남아메리카주,콜롬비아,여성,274,22,,,,,,42,,27,,7,,,,3,,,,,,2,8,,,,1,12,14,,5,60,6,,,,,65
남아메리카주,아르헨티나,총계,431,10,119,,71,12,,15,,3,,3,,,1,,1,,2,,2,8,5,,,,27,7,8,68,5,38,8,1,2,,,15
남아메리카주,아르헨티나,남성,233,5,65,,34,9,,3,,1,,1,,,1,,,,1,,2,4,5,,,,16,4,3,47,2,12,8,1,1,,,8
남아메리카주,아르헨티나,여성,198,5,54,,37,3,,12,,2,,2,,,,,1,,1,,,4,,,,,11,3,5,21,3,26,,,1,,,7
남아메리카주,에콰도르,총계,282,2,17,,23,1,1,80,,22,,,,,1,8,,,1,1,5,2,7,,,,6,5,13,4,1,30,4,,,,,48
